,sentimen,before,after
88,positif,@prabowo & @sandiuno  Tidak akan ambil gaji serupiah pun jika terpilih sbg Presiden RI  Benar kata alm. Gus Dur : orang yg paling ihlas utk Indonesia adalah prabowo ..!  #PrabowoSandiOKBanget #PrabowoSandiTakTerbendung #Tutup01Tusuk02 pic.twitter.com/VMyb,@prabowo & @sandiuno Tidak akan ambil gaji serupiah pun jika terpilih sbg Presiden RI Benar kata alm. Gus Dur : orang yg paling ihlas utk Indonesia adalah prabowo ..! Prabowo Sandi OKBanget Prabowo Sandi Tak Terbendung Tutup01Tusuk02 pic.twitter.com/VMyb
90,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ ","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi https://bit.ly/2OgymxtÂ"
92,positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif.  https://bit.ly/2UAuzkRÂ ,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif. https://bit.ly/2UAuzkRÂ
93,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦"
94,positif,"Jokowi-Ma'ruf Pemimpin Indonesia.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","Jokowi-Ma'ruf Pemimpin Indonesia. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
99,netral,"Fyi gaes...Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","Fyi gaes...Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
100,negatif,Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi,Ketika wanita lain cerewat pada suaminya Terima Kasih Istriku kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi
102,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .
103,netral,"Buka PorProv Jateng, Ganjar Ingin Kepala Daerah Contoh Jokowi Hargai Atlet  #2019JokowiKyaiMaruf #RakyatApresiasiKinerjaJokowi  https://twitter.com/tag_nusantara/status/1060707183812169729/video/1Â â€¦","Buka PorProv Jateng, Ganjar Ingin Kepala Daerah Contoh Jokowi Hargai Atlet 2019Jokowi Kyai Maruf Rakyat Apresiasi Kinerja Jokowi https://twitter.com/tag_nusantara/status/1060707183812169729/video/1Â â€¦"
104,netral,Awal mula Mudzakir menjadi guru ngaji Jokowi pada 2001. Ketika itu banyak anak-anak dan orang dewasa meminta diajari membaca Al Quran secara privat.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Awal mula Mudzakir menjadi guru ngaji Jokowi pada 2001. Ketika itu banyak anak-anak dan orang dewasa meminta diajari membaca Al Quran secara privat. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
105,netral,"@KHMarufAmin_ Untuk Indonesia Maju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.ly/2UB5","@KHMarufAmin_ Untuk Indonesia Maju Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan. https://bit.ly/2UB5"
107,netral,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ ","@VidiaAmanda3 17 April Pilih Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi https://bit.ly/2OgymxtÂ"
109,netral,"@Dinikurnia21 17 April Coblos Jokowi-Ma'ruf. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ ","@Dinikurnia21 17 April Coblos Jokowi-Ma'ruf. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi https://bit.ly/2OgymxtÂ"
110,netral,@KHMarufAmin_ 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif.  https://bit.ly/2UAuzkRÂ ,@KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif. https://bit.ly/2UAuzkRÂ
114,positif,"Jokowi-KMA Pemimpin Optimis. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","Jokowi-KMA Pemimpin Optimis. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya. https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
117,netral,"Saat Jokowi masih menjadi pengusaha mebel di Solo. Mudzakir, guru ngaji Bpk @jokowi, pernah mendapat oleh-oleh dari ""muridnya"" sepulang dari Jerman. Yaitu korek api Zippo.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Saat Jokowi masih menjadi pengusaha mebel di Solo. Mudzakir, guru ngaji Bpk @jokowi, pernah mendapat oleh-oleh dari ""muridnya"" sepulang dari Jerman. Yaitu korek api Zippo. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
118,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
124,positif,Mencoblos=beramal Kenapa demikian? Karena @prabowo dan @sandiuno jika terpilih (insyaallah) mereka akan menginfakkan gajinya buat kaum dhuafa.. Suara kita g sia-sia kawan.. Mari kita dukung niat mereka #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS https://twitter.com/dhikabebeh/status/1117495100995538944Â â€¦,Mencoblos=beramal Kenapa demikian? Karena @prabowo dan @sandiuno jika terpilih (insyaallah) mereka akan menginfakkan gajinya buat kaum dhuafa.. Suara kita g sia-sia kawan.. Mari kita dukung niat mereka UASdifitnah Keji Balas Di TPS UASdifitnah Keji Balas Di TPS https://twitter.com/dhikabebeh/status/1117495100995538944Â â€¦
125,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Pak @Jokowi  https://bit.ly/2OgymxtÂ ","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Pak @Jokowi https://bit.ly/2OgymxtÂ"
128,positif,"gue kasih tau..Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.Â  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦Â #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","gue kasih tau..Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.Â http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦Â Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
129,negatif,"bener juga sih #ApaKataKu  kan kata bapak aja, jelas Pak Jokowi dapat penghargaan dimana2 di luar negeri..  Jangan sampe segitu pak kalo mau menang.  kasihan rakyat.","bener juga sih Apa Kata Ku kan kata bapak aja, jelas Pak Jokowi dapat penghargaan dimana2 di luar negeri.. Jangan sampe segitu pak kalo mau menang. kasihan rakyat."
130,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih dan pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih dan pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .
131,netral,"Pak @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.   http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ #PilihBajuPutih #PilihOrangBaik #PilihJelasIslamnya","Pak @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ Pilih Baju Putih Pilih Orang Baik Pilih Jelas Islamnya"
132,positif,"Bersatu Dukung Jokowi-Amin. @KHMarufAmin_ #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ","Bersatu Dukung Jokowi-Amin. @KHMarufAmin_ Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan. https://bit.ly/2IpbIDdÂ"
133,negatif,KPU di bawah pemerintah rezim yg berkuasa skarang.  Kenapa yg salah prabowo??? Memangnya yg gaji KPU presiden prabowo ya???   #2019GantiPresiden  https://www.facebook.com/1742490484/posts/10205609169225534/Â â€¦,KPU di bawah pemerintah rezim yg berkuasa skarang. Kenapa yg salah prabowo??? Memangnya yg gaji KPU presiden prabowo ya??? 2019Ganti Presiden https://www.facebook.com/1742490484/posts/10205609169225534/Â â€¦
134,negatif,"Denny ini sementara menghinakan dirinya sendiri dihadapan publik. Merasa hebat tapi sayangnya TOLOL, kelihatan di ILC jadi ayam sayur. Apalagi mau sok nyentil ttg agama sdh pasti otakmu gak bakalan sampai. #Nyampah ðŸ¸  Den, kamu belajar ngaji dulu lah sebelum sok mau nyentil UAH.","Denny ini sementara menghinakan dirinya sendiri dihadapan publik. Merasa hebat tapi sayangnya TOLOL, kelihatan di ILC jadi ayam sayur. Apalagi mau sok nyentil ttg agama sdh pasti otakmu gak bakalan sampai. Nyampah ðŸ¸ Den, kamu belajar ngaji dulu lah sebelum sok mau nyentil UAH."
136,negatif,#PopulerB1 9: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,Populer B1 9: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi http://brt.st/6b4KÂ
138,netral,"Fyi gaes...Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih","Fyi gaes...Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â https://bit.ly/2IpbIDdÂ Â Pilih Orang BaikÂ Pilih Jelas IslamnyaÂ Pilih Baju Putih"
140,positif,"Dengan mencoblos prabowo sandi anda telah beramal selama 5 tahun karena gaji prabowo sandi disumbang untuk dhuafa, anak yatim, dll #UASdifitnahKejiBalasDiTPS pic.twitter.com/aoZydw6bu0","Dengan mencoblos prabowo sandi anda telah beramal selama 5 tahun karena gaji prabowo sandi disumbang untuk dhuafa, anak yatim, dll UASdifitnah Keji Balas Di TPS pic.twitter.com/aoZydw6bu0"
141,positif,Presiden Jokowi dan Raja Salman bin Abdulaziz al-Saud melakukan pertemuan bilateral. Keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi.  https://news.detik.com/berita/d-4510595/menlu-retno-ri-saudi-tingatkan-kerjasama-di-sektor-energi-dan-pariwisata?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1555270554Â â€¦,Presiden Jokowi dan Raja Salman bin Abdulaziz al-Saud melakukan pertemuan bilateral. Keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi. https://news.detik.com/berita/d-4510595/menlu-retno-ri-saudi-tingatkan-kerjasama-di-sektor-energi-dan-pariwisata?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1555270554Â â€¦
142,positif,"Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.   http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦  Tanggal 17 April #PilihOrangBaik terus #PilihJelasIslamnya dan menggandeng ulama dan pasti","Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ Tanggal 17 April Pilih Orang Baik terus Pilih Jelas Islamnya dan menggandeng ulama dan pasti"
143,positif,"Fyi gaes...Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.Â  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦Â #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Fyi gaes...Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.Â http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦Â Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
146,netral,Pemerintah @jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif.  https://bit.ly/2UAuzkRÂ  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Pemerintah @jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif. https://bit.ly/2UAuzkRÂ Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
149,netral,Menurut Jokowi warga di Papua juga berhak merasakan harga BBM yang sama seperti di pulau jawa. #JkwAminHAMTerjamin #01ndonesiaMaju,Menurut Jokowi warga di Papua juga berhak merasakan harga BBM yang sama seperti di pulau jawa. Jkw Amin HAMTerjamin 01ndonesia Maju
150,netral,Ingin skill anak bangsa dihargai di negara sendiri?   17 April : âˆš Tusuk Prabowo Sandi !   #UASdifitnahKejiBalasDiTPS https://twitter.com/tuanmarajo/status/1117499727497424896Â â€¦,Ingin skill anak bangsa dihargai di negara sendiri? 17 April : âˆš Tusuk Prabowo Sandi ! UASdifitnah Keji Balas Di TPS https://twitter.com/tuanmarajo/status/1117499727497424896Â â€¦
160,netral,"Pertemuan Jokowi dengan Menlu Thailand mendorong keterlibatan ASEAN untuk membantu Myanmar dalam penyelesaian konflik Rohingya. Selain itu, secara khusus Jokowi menyampaikan satu isu terkait dengan harga karet dunia #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1106141449890889728/video/1Â â€¦","Pertemuan Jokowi dengan Menlu Thailand mendorong keterlibatan ASEAN untuk membantu Myanmar dalam penyelesaian konflik Rohingya. Selain itu, secara khusus Jokowi menyampaikan satu isu terkait dengan harga karet dunia 2019Jokowi Kyai Maruf https://twitter.com/Tagar_Nusantara/status/1106141449890889728/video/1Â â€¦"
166,positif,Yusuf Mansur menilai Ma'ruf Amin sebagai sosok yang ideal untuk mendampingi Jokowi maju dalam pemilihan presiden (pilpres) 2019. Pasangan ini diharapkan nantinya mampu mendongkrak ekonomi syariah.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Yusuf Mansur menilai Ma'ruf Amin sebagai sosok yang ideal untuk mendampingi Jokowi maju dalam pemilihan presiden (pilpres) 2019. Pasangan ini diharapkan nantinya mampu mendongkrak ekonomi syariah. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
177,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan pak @jokowi -JK, sangat jauh meningkat.   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan pak @jokowi -JK, sangat jauh meningkat. https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
178,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. Coblos 01 JUARA   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. Coblos 01 JUARA https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
180,positif,Pak Prabowo concern  benahi tata kelola negara..  pertahanan negara  hingga harga diri bangsa  di mata dunia  Bang Sandi fokus  garap kekuatan ekonomi sinergikan pemerintah dan  power rakyatnya  para ulama 212 fokus garap  iman dan akidah juga akhlaq umat  #Ruh212 #MCAHacktivis,Pak Prabowo concern benahi tata kelola negara.. pertahanan negara hingga harga diri bangsa di mata dunia Bang Sandi fokus garap kekuatan ekonomi sinergikan pemerintah dan power rakyatnya para ulama 212 fokus garap iman dan akidah juga akhlaq umat Ruh212 MCAHacktivis
189,negatif,"Salah arahnya Pembangunan Ekonomi Indonesia saat ini juga tak terlepas dari andil #presiden sebelum #Jokowi. ""Saya tidak menyalahkan Bapak. Ini kesalahan besar, kesalahan besar presiden-presiden sebelum Bapak. Kita...  https://media0.giphy.com/media/1esS6V0Us2JQCLIH4t/giphy.gifÂ â€¦","Salah arahnya Pembangunan Ekonomi Indonesia saat ini juga tak terlepas dari andil presiden sebelum Jokowi. ""Saya tidak menyalahkan Bapak. Ini kesalahan besar, kesalahan besar presiden-presiden sebelum Bapak. Kita... https://media0.giphy.com/media/1esS6V0Us2JQCLIH4t/giphy.gifÂ â€¦"
